name,description,url,category,logo
"Baltimore Roundtable for Economic Democracy (BRED)","Supported CCD's acquisition of the Jarbo Brothers facility and the co-op's economic-democracy work.","https://www.baltimoreroundtable.org","funder",""
"Neighborhood Design Center","Helps CCD finalize site plans and engage residents on the Center for Social Impact.","https://ndc-md.org/","design",""
"ReGEN Consulting Group","Finalizing site plans and preliminary renderings for the Frederick Avenue development.","https://www.instagram.com/regenconsultinggroup/","design",""
"Civic Works Baltimore","Partner on the Oasis @ 240 reclaimed green space.","http://civicworks.com/","community",""
"Chesapeake Bay Trust","Supported native plantings and green infrastructure at the Oasis.","https://cbtrust.org/","funder",""
"T.A.P. Inc. (The Arts Project)","Youth arts partner led by visionary Andi Kennedy — original art at the Oasis @ 240 and CCD's ARTS programming.","https://www.theartsprojectinc.org/","community",""
"Baltimore Heritage","Walking-tour partner whose Five Minute Histories series features Irvington's landmarks.","https://baltimoreheritage.org","community",""
"Baltimore Children & Youth Fund","Funder supporting CCD's youth programming.","https://www.bcyfund.org/","funder",""
"Spring Meadow Farms","Partner on the Little Memorial Garden restoration.","https://springmeadowfarms.com/","program",""
"The 4th Brew","Coffee-culture and entrepreneurship partner in workforce programming.","https://the4thbrew.com/","program",""
"DeWalt","Tools and construction-trades support for workforce development.","https://www.dewalt.com/","program",""
"Catonsville Cooperative Market","Partner co-op supporting CCD's community market events and shoe drive drop-offs.","","community",""
"City Chill","Neighborhood partner and mural site on the walking tour.","","community",""
"BMore Fresh","Neighborhood barbershop partner on the walking tour.","","community",""
"Maryland Nonprofits","CCD is a proud member of Maryland Nonprofits.","https://www.marylandnonprofits.org/","member",""
